ID,work_year,experience_level,employment_type,job_title
10387,2022,SE,FT,Data Engineer
15840,2022,SE,FT,Data Scientist
17373,2021,MI,FT,Data Analyst
10767,2020,EN,FT,Data Analyst
18922,2022,SE,FT,Research Scientist
18490,2022,SE,FT,Data Scientist
16621,2021,SE,FT,Principal Data Engineer
12403,2020,SE,FT,Data Scientist
11377,2022,EX,FT,Data Engineer
15997,2022,SE,FT,Data Scientist
11213,2022,MI,FT,Machine Learning Engineer
13938,2021,SE,FT,Computer Vision Engineer
15471,2021,EN,FT,Data Scientist
17205,2020,MI,FT,Data Analyst
18636,2022,MI,FT,Data Analyst
15745,2022,SE,FT,Data Architect
19550,2021,EN,FT,Data Analyst
19415,2022,SE,FT,Data Analyst
16149,2022,EN,FT,Data Analyst
19480,2022,EN,FT,Data Engineer
14320,2021,EN,FT,Machine Learning Scientist
12536,2021,SE,FT,Data Analyst
15915,2021,MI,FT,Data Scientist
14464,2021,MI,FT,Data Scientist
12992,2021,MI,FT,Data Engineer
13589,2022,SE,FT,Data Scientist
10359,2021,MI,FT,Data Scientist
11789,2022,SE,FT,Data Scientist
18134,2022,MI,FT,Data Engineer
17167,2020,MI,FT,Data Scientist
19783,2021,SE,FT,Machine Learning Engineer
14494,2022,MI,FT,Applied Machine Learning Scientist
19444,2020,SE,FT,Data Scientist
15910,2021,MI,FT,Machine Learning Engineer
19081,2020,SE,FT,Data Engineer
16189,2020,EN,FT,Data Scientist
10091,2022,SE,FT,Data Scientist
16805,2022,SE,FT,Machine Learning Engineer
16416,2020,MI,FT,Data Scientist
13145,2020,EN,FT,Big Data Engineer
17292,2021,MI,FT,ML Engineer
18881,2021,EN,FT,Data Engineer
11782,2022,MI,FT,Data Scientist
11191,2022,SE,FT,Data Analyst
13382,2022,SE,FT,Data Scientist
17027,2022,SE,FT,Data Analyst
10379,2021,SE,FT,Machine Learning Engineer
12625,2022,SE,FT,Machine Learning Engineer
11481,2022,EN,FT,Data Scientist
14318,2021,EN,FT,Computer Vision Software Engineer
18088,2022,EX,FT,Head of Machine Learning
11520,2021,MI,FT,Data Engineer
17138,2022,SE,FT,Data Analyst
10052,2022,SE,FT,Data Engineer
17620,2022,SE,FT,Data Scientist
12711,2022,SE,FT,Data Scientist
13306,2021,EN,FT,Data Science Consultant
11825,2021,MI,FT,Data Engineer
19904,2022,MI,FT,Data Engineer
14576,2022,SE,FT,Machine Learning Engineer
12691,2021,MI,FT,Data Scientist
11077,2022,SE,FT,Data Analytics Manager
17318,2022,MI,FT,Data Engineer
13894,2021,MI,FT,Big Data Engineer
12889,2021,SE,FT,Data Engineer
15265,2022,EN,FT,Data Scientist
11614,2022,SE,FT,Data Scientist
15084,2021,MI,FT,Machine Learning Engineer
11234,2022,MI,FT,Applied Data Scientist
17846,2021,SE,FT,ML Engineer
16340,2020,SE,FT,Machine Learning Manager
12954,2022,SE,FT,Data Engineer
17619,2022,SE,FT,Data Analyst
14709,2021,EN,FT,Research Scientist
14152,2021,SE,FT,Director of Data Engineering
18528,2021,SE,FT,Data Analytics Engineer
14454,2022,SE,FT,Data Scientist
11103,2021,MI,FT,Lead Data Analyst
15368,2021,EN,FT,BI Data Analyst
17806,2022,MI,FT,ETL Developer
19596,2021,SE,FT,Lead Data Engineer
14894,2021,EN,FT,BI Data Analyst
12990,2022,SE,FT,Data Analyst
17331,2021,EN,FT,Data Scientist
13117,2021,SE,FT,Data Analytics Manager
14866,2020,MI,FT,Data Engineer
14851,2022,SE,FT,Data Architect
19854,2021,SE,FT,AI Scientist
15571,2022,SE,FT,Data Scientist
19857,2021,MI,FL,Machine Learning Scientist
16353,2022,SE,FT,Data Analyst
13343,2021,MI,FT,Data Engineer
12919,2021,MI,FT,Data Scientist
17310,2021,EX,FT,Data Science Consultant
12528,2022,SE,FT,Data Engineer
16392,2022,SE,FT,Data Engineer
15038,2021,EX,FT,BI Data Analyst
13835,2020,MI,FT,Data Analyst
13081,2021,SE,FT,Principal Data Scientist
15018,2020,SE,FL,Computer Vision Engineer
10551,2022,SE,FT,Data Analyst
18357,2022,SE,FT,Data Architect
16292,2022,SE,FT,Data Scientist
11409,2020,EN,FT,Data Scientist
13100,2022,MI,FT,Data Scientist
12245,2021,MI,FT,Data Engineer
14218,2020,MI,FT,BI Data Analyst
11877,2021,EX,FT,Principal Data Engineer
13059,2021,EN,FT,Big Data Engineer
11539,2022,SE,FT,Data Engineer
16372,2022,SE,FT,Data Engineer
13335,2022,SE,FT,Data Engineer
17326,2022,SE,FT,Data Analyst
18206,2022,SE,FT,Data Analyst
11362,2020,EX,FT,Data Engineering Manager
11159,2021,MI,CT,ML Engineer
10439,2021,MI,FT,Data Engineer
14663,2022,EN,FT,Data Engineer
16759,2021,SE,FT,Machine Learning Engineer
17402,2022,SE,FT,Data Engineer
18058,2022,SE,FT,Data Analyst
10048,2022,SE,FT,Data Analyst
10391,2022,MI,PT,Data Engineer
14893,2020,SE,FT,Machine Learning Scientist
17091,2022,MI,FT,Data Scientist
12581,2021,MI,FT,Data Engineer
14121,2022,SE,FT,Data Scientist
11299,2021,SE,FT,Data Scientist
11315,2021,SE,FT,Data Science Manager
11239,2022,SE,FT,Data Scientist
14501,2021,SE,FT,Data Science Manager
14514,2022,SE,FT,Data Engineer
17504,2021,EN,FT,Data Analyst
17287,2022,EN,FT,Data Engineer
11031,2021,MI,FT,Data Engineer
19027,2022,SE,FT,Data Engineer
13059,2022,SE,FT,Data Analyst
11482,2021,SE,FT,Research Scientist
15435,2022,MI,FT,Data Engineer
14417,2022,SE,FT,Data Analyst
15707,2021,MI,FT,Data Scientist
16563,2022,SE,FT,Data Engineer
12373,2022,SE,FT,Data Analyst
10272,2021,MI,FT,Data Scientist
16611,2021,MI,FT,Big Data Engineer
15123,2021,EN,FT,Machine Learning Engineer
14838,2020,SE,FT,Principal Data Scientist
10130,2021,MI,FT,Data Science Engineer
12640,2022,EX,FT,Head of Data Science
14510,2020,EN,FT,Machine Learning Engineer
10131,2021,MI,FT,Data Scientist
18224,2021,EN,FT,Data Engineer
11207,2021,SE,FT,Finance Data Analyst
13848,2022,SE,FT,Data Engineer
12111,2022,SE,FT,Data Engineer
14054,2021,MI,FT,ML Engineer
14035,2022,SE,FT,Data Engineer
10070,2022,SE,FT,Data Scientist
11072,2022,SE,FT,Machine Learning Engineer
19618,2020,MI,FT,Product Data Analyst
18597,2020,EX,FT,Director of Data Science
10244,2022,MI,FT,Machine Learning Developer
17675,2021,MI,FT,Data Architect
15701,2020,MI,FT,Machine Learning Engineer
12205,2020,SE,FT,Data Engineer
18072,2020,SE,FT,Big Data Engineer
16562,2022,SE,FT,Analytics Engineer
16558,2022,MI,FT,Data Engineer
11290,2022,SE,FT,Data Analyst
18010,2022,SE,FT,Data Analytics Manager
18774,2022,MI,FT,Data Analyst
11777,2022,SE,FT,Machine Learning Engineer
10455,2022,MI,FL,Data Scientist
12467,2022,SE,FT,Data Scientist
17997,2022,EX,FT,Data Analyst
17888,2022,SE,FT,Data Analyst
11475,2021,SE,FT,Data Analyst
16387,2021,EN,FT,Machine Learning Engineer
14044,2021,SE,FT,Director of Data Science
17105,2020,EN,PT,ML Engineer
17518,2022,SE,FT,Data Engineer
17904,2022,SE,FT,Data Scientist
10433,2021,SE,FT,Big Data Architect
14011,2021,MI,FT,Research Scientist
12079,2022,EN,FT,Computer Vision Engineer
17313,2022,MI,FT,Data Scientist
12267,2022,SE,FT,Data Analyst
18666,2021,EN,FT,Data Scientist
17929,2022,SE,FT,Data Scientist
12015,2022,MI,FT,Data Analyst
17345,2020,EN,CT,Business Data Analyst
19212,2022,MI,FT,Data Analyst
13601,2020,EN,FT,Data Scientist
17528,2022,SE,FT,Data Scientist
15088,2022,MI,FT,AI Scientist
10530,2021,SE,FT,Data Specialist
18128,2021,MI,FT,Data Scientist
19633,2021,EN,FT,Data Scientist
17748,2022,SE,FT,Data Scientist
18028,2021,MI,FT,Computer Vision Software Engineer
10664,2021,MI,FT,Data Analyst
15541,2022,EN,FT,Research Scientist
13829,2020,MI,FT,Data Engineer
12027,2022,SE,FT,Data Scientist
16609,2022,SE,FT,Principal Data Scientist
12890,2021,MI,FT,Machine Learning Engineer
18797,2022,SE,FT,Data Engineer
16006,2022,SE,FT,Data Architect
14050,2022,SE,FT,Data Analytics Manager
18406,2021,EX,FT,Director of Data Science
14456,2022,EN,FT,Data Scientist
19304,2022,SE,FT,Data Analyst
16469,2022,SE,FT,Data Engineer
14797,2022,MI,FT,Data Analyst
10679,2020,MI,FT,Data Scientist
10505,2021,SE,FT,Data Science Engineer
15464,2022,SE,FT,Machine Learning Engineer
18130,2022,SE,FT,Applied Data Scientist
11870,2022,MI,FT,Data Analyst
12370,2021,MI,FT,Data Analytics Engineer
17396,2022,SE,FT,Data Scientist
18567,2022,MI,FT,Data Analyst
15341,2022,SE,FT,Data Scientist
12480,2022,MI,FT,Machine Learning Engineer
15769,2020,MI,FT,Data Analyst
17268,2022,SE,FT,Data Analyst
10733,2021,MI,FT,Data Scientist
15631,2021,EN,FT,Data Science Consultant
14230,2020,MI,FT,Data Engineer
19846,2021,EN,FT,Data Scientist
14341,2021,EN,FT,Machine Learning Engineer
16526,2022,MI,FT,Data Engineer
